kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,3,5,0.001,2,0.01,9.325,2.403,0.518,0.733
poly,3,5,0.001,2,0.1,9.057,2.383,0.534,0.742
poly,3,5,0.001,2,0.5,9.4,2.406,0.523,0.741
poly,3,5,0.001,2,0.8,8.76,2.345,0.554,0.752
poly,3,5,0.001,3,0.01,9.325,2.399,0.517,0.733
poly,3,5,0.001,3,0.1,9.205,2.395,0.525,0.739
poly,3,5,0.001,3,0.5,9.468,2.41,0.519,0.739
poly,3,5,0.001,3,0.8,8.922,2.362,0.544,0.746
poly,3,5,0.001,4,0.01,9.334,2.401,0.516,0.733
poly,3,5,0.001,4,0.1,9.28,2.396,0.521,0.737
poly,3,5,0.001,4,0.5,9.545,2.419,0.514,0.736
poly,3,5,0.001,4,0.8,9.022,2.373,0.539,0.743
poly,3,10,0.1,1,0.01,55.152,3.904,-2.052,0.336
poly,3,10,0.1,1,0.1,48.309,3.628,-1.746,0.373
poly,3,10,0.1,1,0.5,47.723,3.587,-1.786,0.376
poly,3,10,0.1,1,0.8,18.268,2.882,-0.032,0.529
poly,3,10,0.1,2,0.01,55.658,3.909,-2.077,0.339
poly,3,10,0.1,2,0.1,49.173,3.643,-1.802,0.376
poly,3,10,0.1,2,0.5,51.896,3.668,-2.033,0.364
poly,3,10,0.1,2,0.8,19.348,2.938,-0.084,0.515
poly,3,10,0.1,3,0.01,55.925,3.911,-2.09,0.34
poly,3,10,0.1,3,0.1,49.608,3.654,-1.83,0.377
poly,3,10,0.1,3,0.5,53.545,3.698,-2.129,0.359
poly,3,10,0.1,3,0.8,20.477,2.993,-0.14,0.504
poly,3,10,0.1,4,0.01,56.119,3.911,-2.101,0.34
poly,3,10,0.1,4,0.1,49.875,3.659,-1.847,0.377
poly,3,10,0.1,4,0.5,54.363,3.712,-2.176,0.357
poly,3,10,0.1,4,0.8,21.566,3.033,-0.198,0.497
poly,3,10,0.01,1,0.01,8.197,2.262,0.576,0.765
poly,3,10,0.01,1,0.1,8.319,2.287,0.569,0.76
poly,3,10,0.01,1,0.5,8.242,2.31,0.573,0.759
poly,3,10,0.01,1,0.8,8.808,2.356,0.548,0.746
poly,3,10,0.01,2,0.01,8.433,2.275,0.563,0.756
poly,3,10,0.01,2,0.1,8.372,2.264,0.564,0.755
poly,3,10,0.01,2,0.5,8.219,2.282,0.573,0.758
poly,3,10,0.01,2,0.8,9.092,2.384,0.531,0.737
poly,3,10,0.01,3,0.01,8.718,2.294,0.548,0.748
poly,3,10,0.01,3,0.1,8.592,2.279,0.552,0.747
poly,3,10,0.01,3,0.5,8.427,2.294,0.56,0.751
poly,3,10,0.01,3,0.8,9.509,2.429,0.507,0.724
poly,3,10,0.01,4,0.01,8.992,2.322,0.534,0.74
poly,3,10,0.01,4,0.1,8.709,2.301,0.546,0.745
poly,3,10,0.01,4,0.5,8.76,2.33,0.54,0.737
poly,3,10,0.01,4,0.8,9.824,2.453,0.488,0.714
poly,3,10,0.001,1,0.01,9.274,2.397,0.524,0.738
poly,3,10,0.001,1,0.1,9.17,2.397,0.531,0.743
poly,3,10,0.001,1,0.5,9.345,2.408,0.526,0.746
poly,3,10,0.001,1,0.8,9.02,2.393,0.544,0.751
poly,3,10,0.001,2,0.01,9.298,2.401,0.519,0.734
poly,3,10,0.001,2,0.1,9.198,2.392,0.526,0.739
poly,3,10,0.001,2,0.5,9.449,2.409,0.52,0.74
poly,3,10,0.001,2,0.8,8.888,2.358,0.546,0.748
poly,3,10,0.001,3,0.01,9.316,2.402,0.517,0.733
poly,3,10,0.001,3,0.1,9.28,2.391,0.52,0.737
poly,3,10,0.001,3,0.5,9.503,2.416,0.516,0.737
poly,3,10,0.001,3,0.8,9.021,2.374,0.539,0.743
poly,3,10,0.001,4,0.01,9.339,2.402,0.516,0.733
poly,3,10,0.001,4,0.1,9.289,2.385,0.52,0.737
poly,3,10,0.001,4,0.5,9.499,2.418,0.516,0.738
poly,3,10,0.001,4,0.8,9.051,2.375,0.537,0.742
poly,3,15,0.1,1,0.01,73.592,4.229,-3.032,0.286
poly,3,15,0.1,1,0.1,64.052,3.884,-2.665,0.325
poly,3,15,0.1,1,0.5,57.11,3.682,-2.391,0.374
poly,3,15,0.1,1,0.8,18.789,2.904,-0.06,0.526
poly,3,15,0.1,2,0.01,75.735,4.242,-3.153,0.285
poly,3,15,0.1,2,0.1,65.148,3.899,-2.734,0.328
poly,3,15,0.1,2,0.5,60.589,3.751,-2.597,0.363
poly,3,15,0.1,2,0.8,20.147,2.959,-0.128,0.513
poly,3,15,0.1,3,0.01,76.365,4.246,-3.19,0.285
poly,3,15,0.1,3,0.1,65.539,3.904,-2.756,0.328
poly,3,15,0.1,3,0.5,62.177,3.779,-2.689,0.358
poly,3,15,0.1,3,0.8,21.1,2.999,-0.174,0.506
poly,3,15,0.1,4,0.01,76.699,4.248,-3.21,0.286
poly,3,15,0.1,4,0.1,65.726,3.907,-2.769,0.329
poly,3,15,0.1,4,0.5,63.021,3.794,-2.738,0.355
poly,3,15,0.1,4,0.8,22.055,3.03,-0.224,0.5
poly,3,15,0.01,1,0.01,8.276,2.262,0.572,0.761
poly,3,15,0.01,1,0.1,8.345,2.27,0.566,0.757
poly,3,15,0.01,1,0.5,8.236,2.296,0.573,0.758
poly,3,15,0.01,1,0.8,8.936,2.37,0.541,0.742
poly,3,15,0.01,2,0.01,8.752,2.297,0.546,0.746
poly,3,15,0.01,2,0.1,8.608,2.277,0.551,0.747
poly,3,15,0.01,2,0.5,8.434,2.294,0.56,0.751
poly,3,15,0.01,2,0.8,9.505,2.43,0.507,0.724
poly,3,15,0.01,3,0.01,9.146,2.341,0.526,0.735
poly,3,15,0.01,3,0.1,8.853,2.318,0.539,0.741
poly,3,15,0.01,3,0.5,8.897,2.342,0.532,0.731
poly,3,15,0.01,3,0.8,9.92,2.459,0.483,0.711
poly,3,15,0.01,4,0.01,9.464,2.376,0.51,0.726
poly,3,15,0.01,4,0.1,9.195,2.362,0.521,0.733
poly,3,15,0.01,4,0.5,9.279,2.378,0.508,0.714
poly,3,15,0.01,4,0.8,10.289,2.485,0.462,0.697
poly,3,15,0.001,1,0.01,9.287,2.397,0.521,0.735
poly,3,15,0.001,1,0.1,9.003,2.376,0.537,0.744
poly,3,15,0.001,1,0.5,9.323,2.401,0.527,0.745
poly,3,15,0.001,1,0.8,8.897,2.372,0.549,0.751
poly,3,15,0.001,2,0.01,9.276,2.395,0.52,0.734
poly,3,15,0.001,2,0.1,9.274,2.391,0.521,0.737
poly,3,15,0.001,2,0.5,9.48,2.414,0.518,0.738
poly,3,15,0.001,2,0.8,8.948,2.365,0.543,0.745
poly,3,15,0.001,3,0.01,9.328,2.403,0.517,0.733
poly,3,15,0.001,3,0.1,9.259,2.381,0.521,0.738
poly,3,15,0.001,3,0.5,9.47,2.416,0.518,0.739
poly,3,15,0.001,3,0.8,9.072,2.376,0.536,0.741
poly,3,15,0.001,4,0.01,9.264,2.396,0.52,0.735
poly,3,15,0.001,4,0.1,9.185,2.369,0.525,0.74
poly,3,15,0.001,4,0.5,9.398,2.408,0.521,0.741
poly,3,15,0.001,4,0.8,9.11,2.38,0.533,0.74
